job_id,title,company,location,description,requirements,industry
AR-011,"Avionics Integration Engineer","Meridian Avionics","Tucson, AZ","Meridian Avionics integrates flight avionics systems for military and commercial aircraft. We need an Avionics Integration Engineer to design mechanical packaging for electronics assemblies, manage cable harness routing, and perform thermal analysis of avionics bays. SolidWorks is the primary CAD tool. You will coordinate with electrical engineers on connector specifications and EMI shielding. FEA in ANSYS validates vibration qualification of electronics enclosures. GD&T documentation ensures manufacturing precision. Systems engineering coordination is central to this role. AS9100 governs all documentation.","- BS in Mechanical or Aerospace Engineering
- 3+ years avionics packaging experience
- SolidWorks for electronics enclosure design
- ANSYS FEA for vibration qualification
- Thermal analysis for electronics cooling
- GD&T per ASME Y14.5
- Cable harness routing and connector selection
- AS9100 documentation
- Systems engineering for avionics integration
- EMI/EMC awareness","Aerospace/Robotics"
AR-012,"Satellite Mechanical Engineer","NovaStar Satellite","Cape Canaveral, FL","NovaStar Satellite designs small satellites for Earth observation. We need a Satellite Mechanical Engineer to design primary structures, mechanism interfaces, and payload mounting systems. CATIA V6 is our CAD platform. You will perform FEA in ANSYS for launch vibration, thermal cycling, and deployment loads. Lightweight optimization is critical — every gram matters in spacecraft design. GD&T and tolerance stack-up analysis ensure precision assembly. The role requires composites knowledge for structural panels, systems engineering for subsystem integration, and AS9100 compliance. Python and MATLAB are used for analysis automation.","- BS in Aerospace or Mechanical Engineering
- 3+ years satellite or spacecraft design
- CATIA V5/V6 for spacecraft structures
- ANSYS FEA for launch and thermal loads
- Lightweight optimization (topology, lattice)
- GD&T and tolerance stack-up analysis
- Composites for structural panels
- Systems engineering for subsystem integration
- AS9100 documentation
- Python and MATLAB for analysis scripts","Aerospace/Robotics"
AR-013,"Test Engineer - Aerospace","VerifyTech Aerospace","Palmdale, CA","VerifyTech Aerospace is seeking a Test Engineer to plan and execute structural, vibration, and thermal qualification tests for aerospace hardware. You will develop test plans, instrument hardware with strain gauges and accelerometers, and correlate test data with FEA predictions from ANSYS. SolidWorks is used for test fixture design. MATLAB and Python process test data. The role requires GD&T knowledge for pre-test dimensional inspection, fatigue analysis for test load spectra development, and technical writing for formal test reports. AS9100 governs our test documentation.","- BS in Aerospace or Mechanical Engineering
- 3+ years aerospace test experience
- Test planning (vibration, thermal, static)
- ANSYS FEA for pre-test prediction
- SolidWorks for test fixture design
- MATLAB and Python for data processing
- GD&T for dimensional inspection
- Fatigue analysis for load spectra
- AS9100 test documentation
- Technical writing for test reports","Aerospace/Robotics"
AR-014,"Aerostructures Design Engineer","WingSpan Aerospace","Seattle, WA","WingSpan Aerospace designs wing and empennage structures for regional aircraft. We need an Aerostructures Design Engineer to create detailed part models in CATIA V5, develop engineering drawings with GD&T, and coordinate with stress engineers on FEA. You will design metallic and composite structures, apply DFM principles for sheet metal forming and composite layup, and manage tolerance stack-ups across large assemblies. AS9100 compliance is mandatory. The role includes fatigue and damage tolerance awareness for certification. Structural analysis hand calculations supplement FEA results.","- BS in Aerospace or Mechanical Engineering
- 3-5 years aerostructures design
- CATIA V5 expert proficiency
- GD&T per ASME Y14.5
- Structural analysis awareness (hand calcs)
- FEA coordination with stress team
- Composite and metallic structure design
- DFM for sheet metal and composite processes
- Tolerance stack-up analysis
- AS9100 documentation and fatigue awareness","Aerospace/Robotics"
AR-015,"GN&C Mechanical Engineer","NavPoint Systems","Hampton, VA","NavPoint Systems develops guidance, navigation, and control hardware for missile and spacecraft applications. We need a GN&C Mechanical Engineer to design gimbal assemblies, sensor mounts, and actuator housings. SolidWorks and CATIA are used for CAD modeling. You will perform FEA in ANSYS for vibration and shock environments, conduct thermal analysis for electronics interfaces, and manage GD&T specifications for precision components. MATLAB and Simulink are used for mechanism dynamics simulation. Systems engineering is critical for managing GN&C mechanical-electrical-software interfaces. Tolerance stack-up analysis ensures pointing accuracy requirements are met.","- BS in Mechanical or Aerospace Engineering
- 4+ years GN&C hardware design
- SolidWorks and/or CATIA
- ANSYS FEA for vibration and shock
- Thermal analysis for electronics
- GD&T and tolerance stack-up analysis
- MATLAB/Simulink for dynamics simulation
- Systems engineering for GN&C interfaces
- AS9100 documentation
- Precision mechanism design experience","Aerospace/Robotics"
AR-016,"Robotics Mechanical Designer","Kinetic Robotics","Pittsburgh, PA","Kinetic Robotics builds human-scale legged robots for research and defense applications. We need a Robotics Mechanical Designer to create actuator housings, linkage systems, and structural frames in SolidWorks. You will perform FEA for dynamic loading scenarios, design for lightweight optimization using topology studies, and specify bearings and transmission components. The role requires GD&T for CNC-machined parts, DFM review for 3D printing and CNC, and collaboration with controls engineers using ROS2. C++ knowledge for real-time control interface is valuable.","- BS in Mechanical or Robotics Engineering
- 2+ years robotic mechanism design
- SolidWorks proficiency
- FEA for dynamic load analysis
- Lightweight optimization (topology)
- GD&T per ASME Y14.5
- DFM for CNC and additive manufacturing
- 3D printing for rapid prototyping
- ROS2 familiarity for hardware-software interface
- C++ awareness for control systems","Aerospace/Robotics"
AR-017,"Launch Vehicle Structures Engineer","Pinnacle Launch Systems","Hawthorne, CA","Pinnacle Launch Systems is hiring a Launch Vehicle Structures Engineer to analyze and design primary load-bearing structures for our orbital launch vehicle. You will perform FEA in ANSYS for launch loads including axial compression, bending, and vibration. CATIA V5 is used for detailed structural modeling. Fatigue analysis and damage tolerance assessment ensure flight safety. The role requires expertise in composite and metallic materials, GD&T for manufacturing specifications, and tolerance stack-up analysis. Lightweight optimization drives every design decision. AS9100 and systems engineering are core to our process. Python automates analysis workflows.","- BS in Aerospace or Mechanical Engineering (MS preferred)
- 5+ years launch vehicle or aircraft structures
- ANSYS FEA expert
- CATIA V5 for structural modeling
- Fatigue and damage tolerance analysis
- Composite and metallic structures
- GD&T per ASME Y14.5
- Tolerance stack-up analysis
- Lightweight optimization
- AS9100 and Python for automation","Aerospace/Robotics"
AR-018,"Drone Mechanical Engineer","SkyLens UAV","San Diego, CA","SkyLens UAV develops inspection drones for infrastructure monitoring. We need a Drone Mechanical Engineer to design airframe structures, payload mounts, and landing gear in SolidWorks. You will perform structural FEA in ANSYS, CFD for drag reduction, and lightweight optimization to extend flight time. 3D printing and CNC machining are used for prototyping. GD&T documents production parts. The role includes DFM review, vibration analysis for camera stabilization, and thermal analysis for motor and ESC cooling. Python scripts automate design studies. This is a startup environment where you will own designs end-to-end.","- BS in Aerospace or Mechanical Engineering
- 2-4 years drone or small aircraft design
- SolidWorks for airframe design
- ANSYS FEA for structural analysis
- CFD for aerodynamic optimization
- Lightweight optimization
- 3D printing and CNC prototyping
- GD&T per ASME Y14.5
- DFM for production transition
- Vibration and thermal analysis","Aerospace/Robotics"
AR-019,"Payload Integration Engineer","Cosmos Spacecraft","Cape Canaveral, FL","Cosmos Spacecraft integrates scientific payloads onto our satellite platforms. We need a Payload Integration Engineer to manage mechanical interfaces between payloads and the spacecraft bus. You will create interface control documents using CATIA for CAD coordination, verify fit using tolerance stack-up analysis, and support vibration testing with FEA predictions from ANSYS. GD&T specifications define all mechanical interfaces. The role is deeply systems engineering — you coordinate thermal, structural, and electrical interfaces across multiple payload teams. MATLAB processes integration test data. AS9100 governs all documentation.","- BS in Aerospace or Mechanical Engineering
- 3+ years payload or spacecraft integration
- CATIA for interface modeling
- ANSYS FEA for vibration prediction
- GD&T for interface specifications
- Tolerance stack-up analysis
- Systems engineering for multi-payload coordination
- MATLAB for data processing
- AS9100 interface documentation
- Vibration and thermal test support","Aerospace/Robotics"
AR-020,"Robotics Research Engineer","DexterLab Robotics","Boston, MA","DexterLab Robotics conducts cutting-edge research in dexterous manipulation for robotic hands and arms. We need a Robotics Research Engineer to design novel gripper mechanisms, implement grasp planning algorithms in ROS2, and validate designs through simulation and hardware testing. SolidWorks is used for mechanism design, and FEA in ANSYS validates structural integrity. You will write C++ and Python code for real-time control, apply machine learning for grasp prediction, and publish results. Systems engineering thinking connects mechanical design to control software.","- MS or PhD in Robotics or Mechanical Engineering
- Research experience in manipulation or grasping
- SolidWorks for mechanism design
- FEA for structural validation
- ROS2 programming (C++ and Python)
- Machine learning for robotics
- Simulation tools (Gazebo, MuJoCo)
- Systems engineering for hardware-software integration
- Strong publication record
- GD&T for prototype specifications","Aerospace/Robotics"
AR-021,"Spacecraft Thermal Analyst","DeepOrbit Systems","Houston, TX","DeepOrbit Systems designs spacecraft for deep-space exploration missions. We need a Spacecraft Thermal Analyst to build thermal mathematical models, predict temperature extremes across mission phases, and design thermal control hardware. Thermal analysis is performed using ANSYS and Thermal Desktop. MATLAB and Python automate parametric studies. CATIA is used for heater placement and MLI blanket design. You will present thermal analysis at design reviews, generate reports per AS9100, and coordinate with systems engineering on thermal interface requirements. GD&T applies to thermal hardware mounting interfaces.","- BS in Aerospace or Mechanical Engineering (MS preferred)
- 4+ years spacecraft thermal analysis
- ANSYS and/or Thermal Desktop
- MATLAB and Python for thermal modeling
- CATIA for thermal hardware design
- Thermal control design (passive and active)
- AS9100 thermal analysis reports
- Systems engineering coordination
- GD&T for thermal interfaces
- Mission-level thermal budget management","Aerospace/Robotics"
AR-022,"Manufacturing Engineer - Aerospace","PrecisionAero Manufacturing","Wichita, KS","PrecisionAero Manufacturing produces machined and fabricated components for aerospace OEMs. We need a Manufacturing Engineer to develop CNC machining processes for titanium and Inconel parts, design fixtures in SolidWorks, and ensure compliance with AS9100. GD&T expertise is critical for tight-tolerance flight hardware. You will implement SPC on critical dimensions, conduct DFM reviews with customers, and drive lean manufacturing improvements on our shop floor. FEA for fixture validation and root cause analysis for non-conformances are regular activities. Tolerance stack-up analysis ensures multi-operation parts meet specifications.","- BS in Mechanical or Manufacturing Engineering
- 3+ years aerospace manufacturing
- CNC machining (titanium, Inconel, aluminum)
- SolidWorks for fixture design
- GD&T expert per ASME Y14.5
- AS9100 compliance
- SPC for critical dimensions
- DFM for machined parts
- FEA for fixture validation
- Tolerance stack-up and root cause analysis","Aerospace/Robotics"
AR-023,"Spacecraft Configuration Manager","OrbitWorks Systems","Denver, CO","OrbitWorks Systems manages spacecraft development programs for government and commercial clients. We need a Spacecraft Configuration Manager to control design baselines, manage engineering change orders, and maintain the product data management system. CATIA is our primary CAD platform, and you must understand CATIA data structures for configuration control. The role requires understanding of aerospace structures, thermal, and mechanisms to evaluate change impacts through a systems engineering lens. GD&T and tolerance analysis knowledge helps assess drawing change requests. AS9100 drives our configuration management processes. Technical writing skills produce detailed impact assessments.","- BS in Aerospace or Mechanical Engineering
- 3+ years configuration management experience
- CATIA PDM administration
- AS9100 configuration management
- Systems engineering change evaluation
- GD&T understanding for drawing review
- Technical writing for impact assessments
- Understanding of structures and mechanisms
- Tolerance analysis awareness
- Engineering change board participation","Aerospace/Robotics"
AR-024,"Robotics Applications Engineer","FlexArm Robotics","San Jose, CA","FlexArm Robotics develops industrial robotic arms for food processing and logistics. We need a Robotics Applications Engineer to deploy robots at customer sites, develop pick-and-place applications, and design end-of-arm tooling. SolidWorks is used for gripper and fixture design. You will program robot motions using ROS2 and integrate with PLC-controlled production lines. Understanding of pneumatic grippers, force/torque sensors, and machine vision is required. GD&T for tooling specifications and DFM for CNC and 3D printed tooling components are daily tasks. Python scripts automate calibration and testing procedures.","- BS in Mechanical or Robotics Engineering
- 2+ years robotics application deployment
- SolidWorks for tooling design
- ROS2 for robot programming
- PLC integration for production lines
- Pneumatic gripper design
- GD&T for tooling specifications
- DFM for CNC and 3D printing
- Python for automation scripts
- Machine vision integration experience","Aerospace/Robotics"
AR-025,"Vibration Test Engineer","ShakeProof Aerospace","Dayton, OH","ShakeProof Aerospace provides vibration and shock testing services for aerospace and defense hardware. We need a Vibration Test Engineer to conduct random vibration, sine sweep, and shock tests per MIL-STD-810 and GEVS requirements. You will develop test fixtures in SolidWorks, perform pre-test FEA in ANSYS to predict resonance frequencies, and correlate test results with analytical models. MATLAB and Python process accelerometer data. GD&T applies to fixture specifications. Vibration analysis expertise is core — you will advise customers on qualification strategies. Technical writing produces formal test reports per AS9100.","- BS in Mechanical or Aerospace Engineering
- 3+ years vibration testing experience
- Vibration analysis (random, sine, shock)
- ANSYS FEA for pre-test prediction
- SolidWorks for test fixture design
- MATLAB and Python for data processing
- GD&T for fixture specifications
- MIL-STD-810 and GEVS test standards
- AS9100 test documentation
- Technical writing for test reports","Aerospace/Robotics"
AR-026,"Aerospace Intern - Structures","SkyForge Engineering","Huntsville, AL","SkyForge Engineering is offering an Aerospace Internship for current ME or AE students interested in structural analysis. You will assist senior engineers with FEA model building in ANSYS, help create SolidWorks test fixture models, and learn GD&T interpretation. Projects include mesh convergence studies, hand calculation verification of FEA results, and documentation per AS9100. This is a paid internship with exposure to real flight hardware analysis. Students preparing for the FE exam are encouraged to apply. MATLAB for post-processing analysis results will be taught.","- Currently pursuing BS in Aerospace or Mechanical Engineering
- Completed junior year minimum
- Basic FEA concepts (coursework level)
- SolidWorks familiarity
- MATLAB basics
- Interest in structural analysis
- Understanding of statics and mechanics of materials
- GD&T awareness
- FE exam preparation is a plus
- Strong attention to detail","Aerospace/Robotics"
AR-027,"Spacecraft Power Systems Engineer","SolarEdge Space","Houston, TX","SolarEdge Space designs solar array systems and power electronics for satellites. We need a Spacecraft Power Systems Engineer to design solar panel deployment mechanisms, battery mounting structures, and power electronics enclosures. CATIA is used for CAD modeling, and ANSYS for structural and thermal FEA. You will design for the space radiation and thermal cycling environment, apply lightweight optimization to minimize structure mass, and manage GD&T for precision mechanical interfaces. Systems engineering coordinates power system performance with thermal and structural constraints. MATLAB models power budgets.","- BS in Aerospace or Mechanical Engineering
- 3+ years spacecraft power systems design
- CATIA for mechanical design
- ANSYS FEA for structural and thermal
- Lightweight optimization for mass reduction
- GD&T per ASME Y14.5
- Thermal analysis for power electronics
- Systems engineering for power budgets
- MATLAB for modeling
- AS9100 documentation","Aerospace/Robotics"
AR-028,"Entry-Level Aerospace Engineer","AeroFirst Engineering","Tucson, AZ","AeroFirst Engineering is hiring an Entry-Level Aerospace Engineer to support our structures and mechanisms group. This is an excellent opportunity for recent graduates to gain hands-on aerospace engineering experience. You will assist with FEA model building in ANSYS, create part models in SolidWorks, generate drawings with GD&T, and support environmental testing. Training is provided on AS9100 documentation, fatigue analysis concepts, and tolerance stack-up analysis. Candidates with FE exam (EIT) certification receive preference. MATLAB and Python skills for data analysis are valuable.","- BS in Aerospace or Mechanical Engineering (recent graduate welcome)
- Coursework in structures, dynamics, and thermodynamics
- Basic SolidWorks and ANSYS experience
- Understanding of FEA fundamentals
- GD&T awareness
- MATLAB and/or Python
- FE exam (EIT) preferred
- Strong problem-solving aptitude
- Interest in aerospace career
- Technical writing ability","Aerospace/Robotics"
AR-029,"Robotic Arm Mechanical Engineer","GripTech Robotics","Pittsburgh, PA","GripTech Robotics develops custom robotic manipulators for industrial and research applications. We need a Robotic Arm Mechanical Engineer to design arm linkages, joint housings, and actuator mounts in SolidWorks. You will perform FEA in ANSYS for static and dynamic loading, specify servo motors and harmonic drives, and create engineering drawings with GD&T. The role involves DFM review for CNC-machined and 3D-printed components, vibration analysis for arm dynamics, and lightweight optimization to maximize payload capacity. ROS2 integration coordinates mechanical design with control algorithms written in C++ and Python.","- BS in Mechanical or Robotics Engineering
- 3+ years robotic arm design
- SolidWorks proficiency
- ANSYS FEA for static and dynamic analysis
- GD&T per ASME Y14.5
- DFM for CNC and additive manufacturing
- 3D printing for prototyping
- Vibration analysis for arm dynamics
- Lightweight optimization
- ROS2 and C++ familiarity","Aerospace/Robotics"
AR-030,"Aerodynamics Engineer","FlowTech Aerospace","Seattle, WA","FlowTech Aerospace is hiring an Aerodynamics Engineer to perform CFD analysis for commercial aircraft wing and nacelle configurations. You will use ANSYS Fluent and Star-CCM+ for external aerodynamics simulation, generate aerodynamic databases for flight simulation, and correlate CFD with wind tunnel data. CATIA V5 is used for geometry preparation. MATLAB and Python automate parametric studies and data post-processing. The role requires understanding of structural loading from aerodynamic pressures (aeroelastic analysis coordination) and systems engineering for integrating aero loads into the structural design process. Technical writing produces formal aerodynamic reports.","- BS in Aerospace Engineering (MS preferred)
- 3+ years aerodynamics or CFD experience
- ANSYS Fluent and/or Star-CCM+
- CFD for external aerodynamics
- CATIA V5 for geometry preparation
- MATLAB and Python for automation
- Aeroelastic analysis awareness
- Systems engineering for load integration
- Technical writing for aero reports
- Wind tunnel correlation experience","Aerospace/Robotics"
AR-031,"Additive Manufacturing Engineer - Aerospace","RocketPrint Technologies","Huntsville, AL","RocketPrint Technologies specializes in metal additive manufacturing for rocket engine and spacecraft components. We need an Additive Manufacturing Engineer to develop print parameters for Inconel and titanium parts, design build supports, and validate printed parts through testing. SolidWorks is used for part preparation, and ANSYS FEA for structural validation of printed components. GD&T governs acceptance criteria. The role includes DFM comparison between additive and traditional manufacturing, lightweight optimization through lattice structures, and AS9100 process documentation. Python automates build data analysis.","- BS in Mechanical or Materials Engineering
- 2+ years metal additive manufacturing
- SolidWorks for part and support design
- ANSYS FEA for printed part validation
- GD&T per ASME Y14.5
- 3D printing (SLM, EBM technologies)
- DFM for additive vs. traditional comparison
- Lightweight optimization (lattice structures)
- AS9100 process documentation
- Python for data analysis","Aerospace/Robotics"
AR-032,"Flight Test Instrumentation Engineer","TestFlight Systems","Edwards AFB, CA","TestFlight Systems supports flight test programs for military aircraft. We need a Flight Test Instrumentation Engineer to design sensor installations, route instrumentation wiring, and analyze flight test data. SolidWorks is used for bracket and mounting design with GD&T documentation. MATLAB and Python process telemetry data. The role requires structural analysis awareness for mounting hardware in flight-load environments, vibration analysis for sensor placement, and technical writing for instrumentation plans and test reports. AS9100 documentation is standard. Systems engineering coordinates with the flight test team.","- BS in Aerospace or Mechanical Engineering
- 3+ years flight test or instrumentation experience
- SolidWorks for mounting bracket design
- GD&T per ASME Y14.5
- MATLAB and Python for data analysis
- Structural analysis awareness for mounts
- Vibration analysis for sensor placement
- AS9100 documentation
- Technical writing for test plans
- Systems engineering coordination","Aerospace/Robotics"
AR-033,"Autonomous Vehicle Engineer","AutoNav Robotics","San Jose, CA","AutoNav Robotics develops autonomous ground vehicles for defense and commercial applications. We need an Autonomous Vehicle Engineer to design vehicle structural modifications, sensor mounting brackets, and ruggedized electronics enclosures in SolidWorks. FEA in ANSYS validates designs for rough-terrain loading. The role requires DFM for CNC and sheet metal fabrication, GD&T documentation, and thermal analysis for electronics cooling. You will work closely with the autonomy software team using ROS2 and Python. Systems engineering ensures mechanical design supports sensor field-of-view and vehicle dynamics requirements. Machine learning integration for perception system evaluation is growing.","- BS in Mechanical or Robotics Engineering
- 3+ years vehicle or robotics mechanical design
- SolidWorks for structural and enclosure design
- ANSYS FEA for off-road loading
- DFM for CNC and sheet metal
- GD&T per ASME Y14.5
- Thermal analysis for electronics
- ROS2 and Python familiarity
- Systems engineering for sensor integration
- Machine learning awareness","Aerospace/Robotics"
